"","mean","sd","0.025Q","0.5Q","0.975Q","mean","sd","0.025Q","0.5Q","0.975Q"
"1990",26317.7457098172,268.395579210534,25791.7000409547,26317.7457098172,26843.7913786796,0.00570161197203136,4.63227867870533e-05,0.00561082097826521,0.00570161197203136,0.00579240296579751
"1991",28201.151266645,272.880577181799,27666.3151632882,28201.151266645,28735.9873700019,0.00596781179784948,4.55159458356659e-05,0.0058786021832893,0.00596781179784948,0.00605702141240966
"1992",30546.6158246642,283.894266019025,29990.1932878495,30546.6158246642,31103.0383614789,0.00631622239880605,4.62587061214647e-05,0.00622555700083656,0.00631622239880605,0.00640688779677555
"1993",33316.5682589833,299.28441386578,32729.9815866721,33316.5682589833,33903.1549312944,0.00673190775265152,4.7924422179855e-05,0.00663797761119911,0.00673190775265152,0.00682583789410393
"1994",36537.0676524562,320.30884845254,35909.2738455597,36537.0676524562,37164.8614593527,0.00721269070598764,5.07382139109124e-05,0.00711324563408236,0.00721269070598764,0.00731213577789292
"1995",40285.3609955584,351.320344845437,39596.7857726251,40285.3609955584,40973.9362184916,0.00776650698006915,5.55885206209214e-05,0.00765755548169828,0.00776650698006915,0.00787545847844001
"1996",45318.2265181707,359.345208394818,44613.9228516998,45318.2265181707,46022.5301846415,0.00852766774179399,5.44762537857924e-05,0.00842089624636118,0.00852766774179399,0.00863443923722681
"1997",53762.4858875873,384.097029496888,53009.6695432046,53762.4858875873,54515.3022319701,0.00987077445599645,5.62210964440398e-05,0.00976058313179478,0.00987077445599645,0.00998096578019813
"1998",63952.1319189065,416.110016211591,63136.5712735254,63952.1319189065,64767.6925642876,0.01145732738735,5.92011979961576e-05,0.0113412951714359,0.01145732738735,0.0115733596032641
"1999",74042.5719236258,449.057497642663,73162.4354012585,74042.5719236258,74922.7084459931,0.0129531878401757,6.24939004534197e-05,0.0128307020460336,0.0129531878401757,0.0130756736343178
"2000",82066.7710451652,480.783908976234,81124.4518992254,82066.7710451652,83009.090191105,0.0140342895184452,6.60301210618308e-05,0.0139048728592692,0.0140342895184452,0.0141637061776212
