Time,mean,sd,0.025Q,0.5Q,0.975Q,mean,sd,0.025Q,0.5Q,0.975Q,case,caselow,caseup,rate,ratelow,rateup
1990,704645.8342,1244.440903,702206.7749,704645.8342,707084.8936,0.006545838,8.53E-06,0.006529111,0.006545838,0.006562565,7.046458342,7.022067749,7.070848936,654.5838018,652.9111313,656.2564724
1991,721009.0723,1242.691807,718573.4411,721009.0723,723444.7034,0.006508556,8.19E-06,0.006492503,0.006508556,0.006524609,7.210090723,7.185734411,7.234447034,650.8555933,649.2502639,652.4609227
1992,738132.2233,1256.379463,735669.7648,738132.2233,740594.6818,0.006479896,8.05E-06,0.006464123,0.006479896,0.006495669,7.381322233,7.356697648,7.405946818,647.9895768,646.4122783,649.5668753
1993,755964.2047,1270.644402,753473.7874,755964.2047,758454.6219,0.006456449,7.91E-06,0.006440939,0.006456449,0.00647196,7.559642047,7.534737874,7.584546219,645.6449228,644.0938606,647.195985
1994,774424.1629,1285.776507,771904.0873,774424.1629,776944.2386,0.006434084,7.79E-06,0.006418819,0.006434084,0.006449349,7.744241629,7.719040873,7.769442386,643.408424,641.8819119,644.934936
1995,793409.2812,1301.730681,790857.936,793409.2812,795960.6265,0.006409998,7.67E-06,0.006394967,0.006409998,0.006425029,7.934092812,7.90857936,7.959606265,640.9998133,639.4966933,642.5029332
1996,813133.8786,1315.566919,810555.4148,813133.8786,815712.3424,0.006385068,7.52E-06,0.006370325,0.006385068,0.00639981,8.131338786,8.105554148,8.157123424,638.5067867,637.0325266,639.9810468
1997,835740.7213,1331.995649,833130.0578,835740.7213,838351.3848,0.006376904,7.39E-06,0.006362417,0.006376904,0.006391392,8.357407213,8.331300578,8.383513848,637.690445,636.2416831,639.1392069
1998,860657.5641,1350.208129,858011.2048,860657.5641,863303.9234,0.006382653,7.28E-06,0.006368394,0.006382653,0.006396912,8.606575641,8.580112048,8.633039234,638.2652989,636.8393704,639.6912274
1999,887099.0796,1369.367156,884415.1693,887099.0796,889782.9899,0.006399289,7.17E-06,0.006385235,0.006399289,0.006413343,8.870990796,8.844151693,8.897829899,639.9289301,638.5235268,641.3343334
2000,914133.0538,1388.843944,911410.9697,914133.0538,916855.1379,0.006422018,7.08E-06,0.006408148,0.006422018,0.006435888,9.141330538,9.114109697,9.168551379,642.2018011,640.8147557,643.5888465
2001,942480.6111,1407.761542,939721.4492,942480.6111,945239.773,0.006456301,6.98E-06,0.006442614,0.006456301,0.006469989,9.424806111,9.397214492,9.45239773,645.6301476,644.2613715,646.9989238
2002,974152.0729,1429.279598,971350.7364,974152.0729,976953.4095,0.006513902,6.91E-06,0.006500354,0.006513902,0.006527451,9.741520729,9.713507364,9.769534095,651.3902104,650.0353703,652.7450505
2003,1008818.053,1452.849137,1005970.521,1008818.053,1011665.585,0.006589561,6.86E-06,0.006576121,0.006589561,0.006603,10.08818053,10.05970521,10.11665585,658.9560647,657.6121455,660.2999839
2004,1045983.206,1477.860656,1043086.653,1045983.206,1048879.76,0.006676572,6.81E-06,0.006663226,0.006676572,0.006689919,10.45983206,10.43086653,10.4887976,667.6572449,666.3226022,668.9918877
2005,1085020.052,1503.870235,1082072.52,1085020.052,1087967.583,0.006768515,6.77E-06,0.006755253,0.006768515,0.006781777,10.85020052,10.8207252,10.87967583,676.851485,675.525254,678.177716
2006,1132246.355,1534.36702,1129239.051,1132246.355,1135253.659,0.006902989,6.74E-06,0.006889779,0.006902989,0.006916198,11.32246355,11.29239051,11.35253659,690.298883,688.9779333,691.6198327
2007,1190803.028,1572.103611,1187721.761,1190803.028,1193884.294,0.007096219,6.74E-06,0.007083001,0.007096219,0.007109437,11.90803028,11.87721761,11.93884294,709.6218748,708.3000923,710.9436574
2008,1253173.374,1611.539067,1250014.816,1253173.374,1256331.933,0.007300791,6.75E-06,0.007287554,0.007300791,0.007314028,12.53173374,12.50014816,12.56331933,730.0791098,728.7554149,731.4028046
2009,1310862.279,1646.983735,1307634.25,1310862.279,1314090.308,0.007468211,6.75E-06,0.007454991,0.007468211,0.007481431,13.10862279,13.0763425,13.14090308,746.8210928,745.4990848,748.1431008
2010,1354695.023,1673.022412,1351415.96,1354695.023,1357974.087,0.007550217,6.70E-06,0.007537089,0.007550217,0.007563345,13.54695023,13.5141596,13.57974087,755.0217187,753.7089263,756.3345111
2011,1383461.555,1688.477167,1380152.201,1383461.555,1386770.91,0.007545873,6.61E-06,0.007532922,0.007545873,0.007558823,13.83461555,13.80152201,13.8677091,754.5872629,753.2922366,755.8822891
2012,1404935.779,1700.038198,1401603.765,1404935.779,1408267.792,0.007501788,6.51E-06,0.007489034,0.007501788,0.007514542,14.04935779,14.01603765,14.08267792,750.1787916,748.9033869,751.4541963
2013,1422278.547,1709.391992,1418928.2,1422278.547,1425628.893,0.007436331,6.40E-06,0.007423781,0.007436331,0.00744888,14.22278547,14.189282,14.25628893,743.6330676,742.3781059,744.8880293
2014,1438562.825,1718.1253,1435195.361,1438562.825,1441930.289,0.007365724,6.30E-06,0.007353379,0.007365724,0.00737807,14.38562825,14.35195361,14.41930289,736.5724055,735.3378507,737.8069603
2015,1457112.143,1728.233794,1453724.867,1457112.143,1460499.419,0.007306496,6.20E-06,0.00729434,0.007306496,0.007318651,14.57112143,14.53724867,14.60499419,730.6495542,729.4340275,731.865081
2016,1450426.856,1721.7746,1447052.24,1450426.856,1453801.472,0.007122807,6.04E-06,0.007110964,0.007122807,0.00713465,14.50426856,14.4705224,14.53801472,712.2807041,711.0963598,713.4650484
2017,1442351.525,1715.061003,1438990.067,1442351.525,1445712.982,0.006937511,5.89E-06,0.006925968,0.006937511,0.006949053,14.42351525,14.38990067,14.45712982,693.7510547,692.5968218,694.9052875
2018,1462706.626,1725.55194,1459324.606,1462706.626,1466088.646,0.006892138,5.80E-06,0.006880771,0.006892138,0.006903504,14.62706626,14.59324606,14.66088646,689.2137895,688.0771422,690.3504369
2019,1489536.125,1748.058958,1486109.993,1489536.125,1492962.258,0.006877999,5.78E-06,0.006866673,0.006877999,0.006889325,14.89536125,14.86109993,14.92962258,687.7999423,686.6673355,688.9325492
2020,1500812.453,18307.05359,1464931.287,1500812.453,1536693.618,0.006794317,8.27E-05,0.006632243,0.006794317,0.00695639,15.00812453,14.64931287,15.36693618,679.4316697,663.2243453,695.638994
2021,1517578.511,31769.6652,1455311.111,1517578.511,1579845.91,0.006738805,0.000140967,0.006462515,0.006738805,0.007015096,15.17578511,14.55311111,15.7984591,673.8805458,646.2515096,701.5095821
2022,1534091.413,48942.59148,1438165.696,1534091.413,1630017.129,0.006684815,0.000213199,0.006266952,0.006684815,0.007102678,15.34091413,14.38165696,16.30017129,668.4814694,626.6951545,710.2677842
2023,1550588.717,69077.93102,1415198.46,1550588.717,1685978.973,0.006633329,0.000295463,0.006054231,0.006633329,0.007212426,15.50588717,14.1519846,16.85978973,663.3328678,605.4231116,721.2426239
2024,1566479.16,91895.45609,1386367.376,1566479.16,1746590.944,0.006581689,0.00038607,0.005825005,0.006581689,0.007338374,15.6647916,13.86367376,17.46590944,658.1689462,582.5005358,733.8373566
2025,1581285.595,117284.1081,1351412.967,1581285.595,1811158.223,0.006527924,0.000484149,0.00557901,0.006527924,0.007476839,15.81285595,13.51412967,18.11158223,652.792428,557.9009764,747.6838796
2026,1595190.045,145014.3286,1310967.183,1595190.045,1879412.906,0.006472953,0.000588416,0.005319679,0.006472953,0.007626228,15.95190045,13.10967183,18.79412906,647.2953498,531.9679259,762.6227737
2027,1608775.577,174971.044,1265838.632,1608775.577,1951712.522,0.006419268,0.000698144,0.005050931,0.006419268,0.007787604,16.08775577,12.65838632,19.51712522,641.9267746,505.0931318,778.7604174
2028,1622296.626,207098.4656,1216391.092,1622296.626,2028202.159,0.006367848,0.000812889,0.004774615,0.006367848,0.00796108,16.22296626,12.16391092,20.28202159,636.7847849,477.4615295,796.1080403
2029,1635212.866,241321.9667,1162230.503,1635212.866,2108195.23,0.006316533,0.00093217,0.004489513,0.006316533,0.008143553,16.35212866,11.62230503,21.0819523,631.6532985,448.9512897,814.3553073
2030,1647075.325,277591.3347,1103006.307,1647075.325,2191144.344,0.006263625,0.001055634,0.00419462,0.006263625,0.008332631,16.47075325,11.03006307,21.91144344,626.3625116,419.4619591,833.263064
2031,1658075.898,315796.2324,1039126.656,1658075.898,2277025.14,0.006209942,0.001182732,0.003891829,0.006209942,0.008528055,16.58075898,10.39126656,22.7702514,620.9941803,389.1829089,852.8054517
2032,1668763.696,355928.9706,971155.7323,1668763.696,2366371.659,0.006157519,0.001313323,0.003583454,0.006157519,0.008731585,16.68763696,9.711557323,23.66371659,615.7519459,358.3454402,873.1584516
2033,1679388.308,397992.4517,899337.4371,1679388.308,2459439.18,0.006107115,0.001447296,0.003270466,0.006107115,0.008943764,16.79388308,8.993374371,24.5943918,610.7115014,327.0466033,894.3763995
2034,1689498.62,441889.4163,823411.2787,1689498.62,2555585.961,0.006056897,0.001584178,0.002951965,0.006056897,0.00916183,16.8949862,8.234112787,25.55585961,605.6897324,295.1964687,916.182996
2035,1698725.95,487540.4587,743164.2098,1698725.95,2654287.69,0.006005463,0.001723583,0.002627302,0.006005463,0.009383624,16.9872595,7.431642098,26.5428769,600.5463095,262.7301797,938.3624392
