Time,mean,sd,0.025Q,0.5Q,0.975Q,mean,sd,0.025Q,0.5Q,0.975Q,case,caselow,caseup,rate,ratelow,rateup
1990,2062.033134,58.92995841,1946.532538,2062.033134,2177.53373,0.007970319,0.000145177,0.007685777,0.007970319,0.008254861,0.020620331,0.019465325,0.021775337,797.0319093,768.5776982,825.4861205
1991,2102.690644,54.39180089,1996.084673,2102.690644,2209.296614,0.007898676,0.00010989,0.007683295,0.007898676,0.008114057,0.021026906,0.019960847,0.022092966,789.8675636,768.3294638,811.4056634
1992,2145.315901,53.74485222,2039.977926,2145.315901,2250.653876,0.007832822,9.95E-05,0.007637736,0.007832822,0.008027908,0.021453159,0.020399779,0.022506539,783.2821814,763.7735878,802.790775
1993,2190.085242,54.1353136,2083.981977,2190.085242,2296.188507,0.007774972,9.66E-05,0.007585623,0.007774972,0.007964321,0.021900852,0.02083982,0.022961885,777.4972103,758.5623455,796.432075
1994,2237.186219,54.65284205,2130.068617,2237.186219,2344.303822,0.00772904,9.46E-05,0.007543632,0.00772904,0.007914449,0.022371862,0.021300686,0.023443038,772.9040461,754.3632284,791.4448638
1995,2286.486937,55.17685786,2178.342282,2286.486937,2394.631591,0.007695707,9.27E-05,0.007514088,0.007695707,0.007877326,0.022864869,0.021783423,0.023946316,769.5707129,751.4087773,787.7326485
1996,2339.214798,55.74617045,2229.954311,2339.214798,2448.475284,0.007679124,9.10E-05,0.007500768,0.007679124,0.007857481,0.023392148,0.022299543,0.024484753,767.9124147,750.0767536,785.7480758
1997,2397.421636,56.40906534,2286.8619,2397.421636,2507.981373,0.00768498,8.98E-05,0.007509001,0.00768498,0.007860958,0.023974216,0.022868619,0.025079814,768.4979696,750.9001137,786.0958256
1998,2462.52856,57.18054848,2350.456744,2462.52856,2574.600375,0.00771626,8.90E-05,0.007541785,0.00771626,0.007890735,0.024625286,0.023504567,0.025746004,771.6259764,754.178456,789.0734967
1999,2538.770082,58.11003884,2424.876499,2538.770082,2652.663665,0.00778253,8.87E-05,0.007608602,0.00778253,0.007956457,0.025387701,0.024248765,0.026526637,778.2529512,760.8601634,795.6457389
